GO:0000005	obsolete ribosomal chaperone activity
GO:0000006	high-affinity zinc transmembrane transporter activity
GO:0000007	low-affinity zinc ion transmembrane transporter activity
GO:0000008	obsolete thioredoxin
GO:0000009	alpha-1,6-mannosyltransferase activity
GO:0000010	trans-hexaprenyltranstransferase activity
GO:0000014	single-stranded DNA endodeoxyribonuclease activity
GO:0000016	lactase activity
GO:0000026	alpha-1,2-mannosyltransferase activity
GO:0000030	mannosyltransferase activity
GO:0000031	mannosylphosphate transferase activity
GO:0000033	alpha-1,3-mannosyltransferase activity
GO:0000034	adenine deaminase activity
GO:0000035	acyl binding
GO:0000036	acyl carrier activity
GO:0000039	obsolete plasma membrane long-chain fatty acid transporter
GO:0000047	obsolete Rieske iron-sulfur protein
GO:0000048	peptidyltransferase activity
GO:0000049	tRNA binding
GO:0000062	fatty-acyl-CoA binding
GO:0000064	L-ornithine transmembrane transporter activity
GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity
GO:0000099	sulfur amino acid transmembrane transporter activity
GO:0000100	S-methylmethionine transmembrane transporter activity
GO:0000102	L-methionine secondary active transmembrane transporter activity
GO:0000104	succinate dehydrogenase activity
GO:0000107	imidazoleglycerol-phosphate synthase activity
GO:0000121	glycerol-1-phosphatase activity
GO:0000140	acylglycerone-phosphate reductase activity
GO:0000146	microfilament motor activity
GO:0000149	SNARE binding
GO:0000150	recombinase activity
GO:0000155	phosphorelay sensor kinase activity
GO:0000156	phosphorelay response regulator activity
GO:0000166	nucleotide binding
GO:0000170	sphingosine hydroxylase activity
GO:0000171	ribonuclease MRP activity
GO:0000175	3'-5'-exoribonuclease activity
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity
GO:0000182	rDNA binding
GO:0000210	NAD+ diphosphatase activity
GO:0000211	obsolete protein degradation tagging activity
GO:0000213	tRNA-intron endonuclease activity
GO:0000215	tRNA 2'-phosphotransferase activity
GO:0000217	DNA secondary structure binding
GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity
GO:0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity
GO:0000227	oxaloacetate secondary active transmembrane transporter activity
GO:0000234	phosphoethanolamine N-methyltransferase activity
GO:0000246	delta24(24-1) sterol reductase activity
GO:0000247	C-8 sterol isomerase activity
GO:0000248	C-5 sterol desaturase activity
GO:0000249	C-22 sterol desaturase activity
GO:0000250	lanosterol synthase activity
GO:0000252	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity
GO:0000253	3-keto sterol reductase activity
GO:0000254	C-4 methylsterol oxidase activity
GO:0000257	nitrilase activity
GO:0000258	obsolete isoleucine/valine:sodium symporter activity
GO:0000259	obsolete intracellular nucleoside transmembrane transporter activity
GO:0000260	obsolete hydrogen-translocating V-type ATPase activity
GO:0000261	obsolete sodium-translocating V-type ATPase activity
GO:0000263	obsolete heterotrimeric G-protein GTPase, alpha-subunit
GO:0000264	obsolete heterotrimeric G-protein GTPase, beta-subunit
GO:0000265	obsolete heterotrimeric G-protein GTPase, gamma-subunit
GO:0000268	peroxisome targeting sequence binding
GO:0000269	toxin export channel activity
GO:0000277	[cytochrome c]-lysine N-methyltransferase activity
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity
GO:0000286	alanine dehydrogenase activity
GO:0000287	magnesium ion binding
GO:0000293	ferric-chelate reductase activity
GO:0000295	adenine nucleotide transmembrane transporter activity
GO:0000297	spermine transmembrane transporter activity
GO:0000298	endopolyphosphatase activity
