P49788	-14.04	Q9Y490
Q15904	-7.19	P35579
Q86VX2	-6.83	P21333
P30499	-4.61	P60709
P28907	-4.44	P07996
Q8WTR2	-2.93	P12814
M0R2G3	-2.69	P18206
Q95365	-2.55	P02671
Q5VZ66	-2.28	P08514
P20472	-2.21	P02775
Q9H4L5	-2.01	P02675
G8JLE0	-1.71	P00488
P04196	-1.63	Q86UX7
Q9UKW4	-1.6	P05106
E9PGF5	-1.59	Q9H4B7
Q08426	-1.58	P07737
Q9NZ08	-1.55	P14618
J3KQ66	17.64	Q14766
Q96N66	8.66	P04275
Q6UWE0	7.64	P68366
H0YMV8	6.72	P67936
Q96FN4	6.41	P06396
Q9NPA8	6.12	P02679
P56181	5.96	Q13201
Q9Y6K5	5.57	Q00610
J3KS81	5.16	O75083
G5E933	4.42	P68871
Q86VR2	4.34	P68371
P22626	3.83	P11142
P33908	3.66	P61224
P08311	2.88	Q15942
P03973	2.73	P04406
Q9NZJ9	2.55	P69905
P62805	2.49	P63104
P62263	2.45	P37802
H7C1J4	2.44	P06733
P04083	2.39	Q15149
P02792	2.38	P11021
P02549	2.09	Q13418
Q6ZWT7	2.09	P12259
P13796	2.08	Q93084
Q9UPN4	2	P27105
Q9Y5P4	1.78	O00151
Q63HN8	1.7	P10720
P06702	1.66	P07900
P12955	1.6	P23528
P05109	1.58	P26038
J3KNL6	1.55	O43707
		P62937
		P04075
		P14625
		Q13576
		Q01518
		P30041
		Q01082
		P68032
		P11277
		P55072
		P08567
		P07359
		P62258
		O95810
		P48059
		P60660
		Q9NZN3
		O00299
		P07384
		P02751
		Q05682
		P00558
		J3QRS3
		P47756
		O75116
		P61158
		H3BPE1
		Q9UBW5
		Q70J99
		P19367
		P52566
		P48735
		O00429
		P23229
		P02776
		P11216
		Q27J81
		P23284
		P60174
		P07237
		Q15746
		Q15833
		Q9HBI1
		P00491
		Q14697
		P25705
		P16109
		P50552
		P04792
		Q01813
		Q14008
		P05556
		O76074
		B4DDF4
		P40197
		P27797
		Q15404
		P0DMV8
		P0DMV9
		P78417
		Q14247
		P06576
		Q9ULV4
		P49327
		P18054
		P61204
		P16284
		P10809
		P09493
		E7EPV7
		P61160
		P07195
		P11169
		P07951
		O15117
		Q13642
		O15143
		P00387
		O95866
		Q9UDY2
		Q9H0U4
		Q9Y277
		Q0ZGT2
		Q9Y6C2
		Q9NQC3
		P00338
		Q9Y613
		P01892
		P00918
		P31146
		P29144
		Q6ZNJ1
		P11413
		Q7L576
		Q14204
		P08238
		Q92619
		P09211
		Q15691
		Q9NR12
		O00194
		O15144
		Q9NQ75
		P14543
		P62979
		P06737
		P12931
		P04179
		P22314
		Q13586
		Q04917
		Q86YW5
		P53396
		P63000
		P01024
		P51659
		Q14644
		Q9NRW1
		P52907
		Q8WUM4
		P05067
		P30740
		P16671
		P53621
		P27824
		Q99497
		P04196
		Q5JSH3
		P29350
		P24844
		P68363
		O00161
		Q7KZF4
		Q13045
		Q14019
		Q16643
		O94919
		P16615
		Q9BSJ8
		Q13813
		P04040
		O15511
		P51149
		P21796
		P05141
		P05771
		P21291
		Q9Y696
		P22392
		P07203
		P43304
		P41226
		P49368
		P61106
		Q15907
		Q96C24
		P01137
		Q12913
		P04114
		P13224
		P58546
		Q5JP53
		Q9H4M9
		Q9NYU2
		O14672
		P40926
		Q6S8J3
		P46939
		E7ES33
		P48426
		F5H4R6
		O00139
		Q96HC4
		P09486
		P10909
		Q3ZCW2
		Q9Y5S2
		O43182
		P01834
		P33176
		Q13094
		P30405
		E7EX90
		P23219
		P18669
		Q7LDG7
		P54920
		P31948
		Q96P48
		Q9Y251
		Q15084
		P04899
		P61981
		Q9UJC5
		P16157
		P17301
		P61586
		O43150
		Q06830
		Q14847
		P13667
		Q9P0L0
		P31150
		P01857
		P02787
		Q9NY65
		P50570
		Q6IBS0
		P14770
		P59998
		P50990
		P17987
		P06744
		Q14677
		I3L504
		P29401
		P52565
		Q9Y4D1
		Q8N392
		P78371
		A6NNI4
		Q05209
		Q13423
		P0DP23
		P0DP24
		P0DP25
		P02766
		Q99685
		P52209
		P04843
		Q01433
		A2A274
		P07225
		P60953
		P10644
		Q5T4S7
		Q5SRN5
		Q9H299
		Q9NR31
		P36871
		Q16555
		P35908
		Q9UJU6
		Q13637
		E9PLK3
		P04632
		J3QSW6
		O75368
		P27348
		P01889
		P62942
		P30044
		P55145
		Q9H939
		Q9NTJ5
		O75558
		P53618
		P40939
		P38646
		O43294
		Q05655
		Q8NEU8
		Q14165
		Q92614
		Q15019
		P62993
		Q9C0C9
		P34932
		D6RGI3
		P00441
		Q8TF42
		P48643
		Q06187
		P47755
		Q7Z6Z7
		P30086
		O43665
		Q08495
		Q15365
		Q10567
