GO,Term,med2_down,med2_up,med5_down,med5_up,med16_down,med16_up,med23_down
- GO:0055114,oxidation-reduction process,1.5797835966168101,0.0,0.0,0.0,1.7160033436347992,1.5440680443502757,0.0
- GO:0002239,response to oomycetes,0.6989700043360189,0.0,0.6989700043360189,0.0,0.0,0.0,0.0
- GO:0042128,nitrate assimilation,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.0
- GO:0006952,defense response,1.3222192947339193,0.0,1.414973347970818,0.0,0.0,1.462397997898956,0.6989700043360189
- GO:0009751,response to salicylic acid,0.9542425094393249,0.0,0.9542425094393249,0.0,0.0,1.1139433523068367,0.0
- GO:0009617,response to bacterium,0.8450980400142568,0.0,0.7781512503836436,0.0,0.0,0.9542425094393249,0.0
- GO:0043086,negative regulation of catalytic activity,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.0
- GO:0009414,response to water deprivation,1.0413926851582251,0.0,0.8450980400142568,0.0,1.146128035678238,0.0,0.0
- GO:0042542,response to hydrogen peroxide,0.6989700043360189,0.0,0.0,0.0,0.7781512503836436,0.0,0.0
- GO:0009620,response to fungus,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.0
- GO:0010200,response to chitin,0.7781512503836436,0.0,1.0413926851582251,0.0,0.0,0.0,0.8450980400142568
- GO:0055085,transmembrane transport,1.2304489213782739,0.0,0.0,0.0,0.0,0.0,0.0
- GO:0009733,response to auxin,0.9542425094393249,0.0,0.0,0.0,1.146128035678238,0.0,0.0
- GO:0009737,response to abscisic acid,1.0791812460476249,0.0,1.0,0.0,0.0,1.1139433523068367,0.0
- GO:0008152,metabolic process,1.0413926851582251,0.0,0.0,0.0,0.0,1.0,0.0
- GO:0009873,ethylene-activated signaling pathway,0.7781512503836436,0.0,0.9030899869919435,0.0,1.0,0.7781512503836436,0.0
- GO:0006468,protein phosphorylation,1.3424226808222062,0.0,0.0,0.0,0.0,0.0,0.0
- GO:0009734,auxin-activated signaling pathway,0.8450980400142568,0.0,0.0,0.0,0.0,0.0,0.0
- GO:0010150,leaf senescence,0.6989700043360189,0.0,0.0,0.0,0.0,0.9030899869919435,0.0
- GO:0050832,defense response to fungus,0.8450980400142568,0.0,1.1760912590556813,0.0,0.0,0.9542425094393249,0.0
- GO:0042742,defense response to bacterium,0.9542425094393249,0.0,1.255272505103306,0.0,0.0,1.146128035678238,0.0
- GO:0009723,response to ethylene,0.6989700043360189,0.0,0.7781512503836436,0.0,0.0,0.0,0.0
- GO:0006355,"regulation of transcription, DNA-templated",0.0,0.7781512503836436,0.0,1.1139433523068367,0.0,0.0,0.8450980400142568
- GO:0009753,response to jasmonic acid,0.0,0.0,1.146128035678238,0.0,0.0,1.1139433523068367,0.0
- GO:0009611,response to wounding,0.0,0.0,1.146128035678238,0.0,0.0,1.0,0.0
- GO:0002213,defense response to insect,0.0,0.0,0.7781512503836436,0.0,0.0,0.0,0.0
- GO:0031640,killing of cells of other organism,0.0,0.0,0.6989700043360189,0.0,0.0,0.0,0.0
- GO:0009627,systemic acquired resistance,0.0,0.0,0.7781512503836436,0.0,0.0,0.8450980400142568,0.0
- GO:0009409,response to cold,0.0,0.0,1.0413926851582251,0.0,0.0,0.0,0.0
- GO:0009626,plant-type hypersensitive response,0.0,0.0,0.6989700043360189,0.0,0.0,0.0,0.0
- GO:0006979,response to oxidative stress,0.0,0.0,0.9030899869919435,0.0,0.0,1.0791812460476249,0.0
- GO:0009651,response to salt stress,0.0,0.0,0.9542425094393249,0.0,0.0,1.0413926851582251,0.0
- GO:0030154,cell differentiation,0.0,0.0,0.0,0.7781512503836436,0.0,0.0,0.0
- GO:0007275,multicellular organism development,0.0,0.0,0.0,0.7781512503836436,0.0,0.0,0.0
- GO:0045454,cell redox homeostasis,0.0,0.0,0.0,0.0,1.0413926851582251,0.0,0.0
- GO:0022900,electron transport chain,0.0,0.0,0.0,0.0,0.9542425094393249,0.0,0.0
- GO:0010017,red or far-red light signaling pathway,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.0
- GO:0010112,regulation of systemic acquired resistance,0.0,0.0,0.0,0.0,0.0,0.7781512503836436,0.0
- GO:2000022,regulation of jasmonic acid mediated signaling pathway,0.0,0.0,0.0,0.0,0.0,0.7781512503836436,0.0
- GO:0009863,salicylic acid mediated signaling pathway,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0
- GO:0002229,defense response to oomycetes,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0
- GO:0098869,cellular oxidant detoxification,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0
